index,Research Method,Continent,hypothesis,support for hypothesis,type of experiment,Habitat,Investigated species,Number of species,has research problem,Sub-hypothesis,Which species are compared?,Indicator for enemy release,Release of which kind of enemies?,Study date,same as,study,publication
Little evidence for release from herbivores as a driver of plant invasiveness from a multi-species herbivore-removal experiment/Contribution 3,Experimental,Europe,Enemy release,Undecided,Enclosure,Terrestrial,Plants,15,Testing the enemy release hypothesis in invasion biology,AND,Aliens and natives,Damage,no differentiation,2014,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Little evidence for release from herbivores as a driver of plant invasiveness from a multi-species herbivore-removal experiment/Contribution 3,Little evidence for release from herbivores as a driver of plant invasiveness from a multi-species herbivore-removal experiment
Little evidence for release from herbivores as a driver of plant invasiveness from a multi-species herbivore-removal experiment/Contribution 2,Experimental,Europe,Enemy release,Questioned,Enclosure,Terrestrial,Plants,7,Testing the enemy release hypothesis in invasion biology,P Ini,Invasive and non-invasive aliens,Performance,no differentiation,2014,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Little evidence for release from herbivores as a driver of plant invasiveness from a multi-species herbivore-removal experiment/Contribution 2,Little evidence for release from herbivores as a driver of plant invasiveness from a multi-species herbivore-removal experiment
Little evidence for release from herbivores as a driver of plant invasiveness from a multi-species herbivore-removal experiment/Contribution 1,Experimental,Europe,Enemy release,Questioned,Enclosure,Terrestrial,Plants,15,Testing the enemy release hypothesis in invasion biology,P AN,Aliens and natives,Performance,no differentiation,2014,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Little evidence for release from herbivores as a driver of plant invasiveness from a multi-species herbivore-removal experiment/Contribution 1,Little evidence for release from herbivores as a driver of plant invasiveness from a multi-species herbivore-removal experiment
"Escape from parasitism by the invasive alien ladybird, Harmonia axyridis/Contribution 2",Experimental,Europe,Enemy release,Supported,Enclosure,Terrestrial,Insects,1,Testing the enemy release hypothesis in invasion biology,ANI,Aliens and natives,Infestation,no differentiation,2014,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']","Escape from parasitism by the invasive alien ladybird, Harmonia axyridis/Contribution 2","Escape from parasitism by the invasive alien ladybird, Harmonia axyridis"
"Escape from parasitism by the invasive alien ladybird, Harmonia axyridis/Contribution 1",Observational or correlational,Europe,Enemy release,Supported,Field,Terrestrial,Insects,1,Testing the enemy release hypothesis in invasion biology,ANI,Aliens and natives,Infestation,no differentiation,2014,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']","Escape from parasitism by the invasive alien ladybird, Harmonia axyridis/Contribution 1","Escape from parasitism by the invasive alien ladybird, Harmonia axyridis"
Herbivores on native and exotic Senecio plants: is host switching related to plant novelty and insect diet breadth under field conditions?/Contribution 1,Observational or correlational,Europe,Enemy release,Undecided,Field,Terrestrial,Plants,2,Testing the enemy release hypothesis in invasion biology,ANI,Aliens and natives,Infestation,no differentiation,2014,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Herbivores on native and exotic Senecio plants: is host switching related to plant novelty and insect diet breadth under field conditions?/Contribution 1,Herbivores on native and exotic Senecio plants: is host switching related to plant novelty and insect diet breadth under field conditions?
"The herbivorous arthropods associated with the invasive alien plant, Arundo donax, and the native analogous plant, Phragmites australis, in the Free State Province, South Africa/Contribution 1",Observational or correlational,Africa,Enemy release,Questioned,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,ANI,Aliens and natives,Infestation,no differentiation,2014,,"The herbivorous arthropods associated with the invasive alien plant, Arundo donax, and the native analogous plant, Phragmites australis, in the Free State Province, South Africa/Contribution 1","The herbivorous arthropods associated with the invasive alien plant, Arundo donax, and the native analogous plant, Phragmites australis, in the Free State Province, South Africa"
Lack of enemy release for an invasive leafroller in California: temporal patterns and influence of host plant origin/Contribution 2,Observational or correlational,"['Asia', 'North-America']",Enemy release,Questioned,Field,Terrestrial,Insects,1,Testing the enemy release hypothesis in invasion biology,HAIs,Aliens in native and invaded range,Infestation,Specialists,2014,"['https://sws.geonames.org/6255147/', 'https://www.wikidata.org/entity/Q48', 'https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Lack of enemy release for an invasive leafroller in California: temporal patterns and influence of host plant origin/Contribution 2,Lack of enemy release for an invasive leafroller in California: temporal patterns and influence of host plant origin
Lack of enemy release for an invasive leafroller in California: temporal patterns and influence of host plant origin/Contribution 1,Observational or correlational,"['Asia', 'North-America']",Enemy release,Questioned,Field,Terrestrial,Insects,1,Testing the enemy release hypothesis in invasion biology,HAI,Aliens in native and invaded range,Infestation,no differentiation,2014,"['https://sws.geonames.org/6255147/', 'https://www.wikidata.org/entity/Q48', 'https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Lack of enemy release for an invasive leafroller in California: temporal patterns and influence of host plant origin/Contribution 1,Lack of enemy release for an invasive leafroller in California: temporal patterns and influence of host plant origin
Two tests of enemy release of commonly co-occurring bunchgrasses native in Europe and introduced in the United States/Contribution 1,Observational or correlational,"['Europe', 'North-America']",Enemy release,Undecided,Field,Terrestrial,Plants,3,Testing the enemy release hypothesis in invasion biology,HAD,Aliens in native and invaded range,Damage,no differentiation,2014,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46', 'https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Two tests of enemy release of commonly co-occurring bunchgrasses native in Europe and introduced in the United States/Contribution 1,Two tests of enemy release of commonly co-occurring bunchgrasses native in Europe and introduced in the United States
Does enemy loss cause release? A biogeographical comparison of parasitoid effects on an introduced insect/Contribution 2,Experimental,North-America,Enemy release,Questioned,Enclosure,Terrestrial,Insects,1,Testing the enemy release hypothesis in invasion biology,P HA,Aliens in native and invaded range,Performance,no differentiation,2013,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Does enemy loss cause release? A biogeographical comparison of parasitoid effects on an introduced insect/Contribution 2,Does enemy loss cause release? A biogeographical comparison of parasitoid effects on an introduced insect
Does enemy loss cause release? A biogeographical comparison of parasitoid effects on an introduced insect/Contribution 1,Observational or correlational,North-America,Enemy release,Supported,Field,Terrestrial,Insects,1,Testing the enemy release hypothesis in invasion biology,HAI,Aliens in native and invaded range,Infestation,no differentiation,2013,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Does enemy loss cause release? A biogeographical comparison of parasitoid effects on an introduced insect/Contribution 1,Does enemy loss cause release? A biogeographical comparison of parasitoid effects on an introduced insect
"Biogeographic comparisons of herbivore attack, growth and impact of Japanese knotweed between Japan and France/Contribution 2",Observational or correlational,"['Asia', 'Europe']",Enemy release,Supported,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,HAI,Aliens in native and invaded range,Infestation,no differentiation,2013,"['https://sws.geonames.org/6255147/', 'https://www.wikidata.org/entity/Q48', 'https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']","Biogeographic comparisons of herbivore attack, growth and impact of Japanese knotweed between Japan and France/Contribution 2","Biogeographic comparisons of herbivore attack, growth and impact of Japanese knotweed between Japan and France"
"Biogeographic comparisons of herbivore attack, growth and impact of Japanese knotweed between Japan and France/Contribution 1",Observational or correlational,"['Asia', 'Europe']",Enemy release,Supported,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,HAD,Aliens in native and invaded range,Damage,no differentiation,2013,"['https://sws.geonames.org/6255147/', 'https://www.wikidata.org/entity/Q48', 'https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']","Biogeographic comparisons of herbivore attack, growth and impact of Japanese knotweed between Japan and France/Contribution 1","Biogeographic comparisons of herbivore attack, growth and impact of Japanese knotweed between Japan and France"
Comparison of phototrophic shell-degrading endoliths in invasive and native populations of the intertidal mussel Mytilus galloprovincialis/Contribution 1,Observational or correlational,"['Africa', 'Europe']",Enemy release,Questioned,Field,Marine,Molluscs,1,Testing the enemy release hypothesis in invasion biology,HAD,Aliens in native and invaded range,Damage,no differentiation,2013,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Comparison of phototrophic shell-degrading endoliths in invasive and native populations of the intertidal mussel Mytilus galloprovincialis/Contribution 1,Comparison of phototrophic shell-degrading endoliths in invasive and native populations of the intertidal mussel Mytilus galloprovincialis
Mortality factors affecting Agrilus auroguttatus Schaeffer (Coleoptera: Buprestidae) eggs in the native and invaded ranges/Contribution 1,Observational or correlational,North-America,Enemy release,Questioned,Field,Terrestrial,Insects,1,Testing the enemy release hypothesis in invasion biology,HAD,Aliens in native and invaded range,Damage,no differentiation,2013,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Mortality factors affecting Agrilus auroguttatus Schaeffer (Coleoptera: Buprestidae) eggs in the native and invaded ranges/Contribution 1,Mortality factors affecting Agrilus auroguttatus Schaeffer (Coleoptera: Buprestidae) eggs in the native and invaded ranges
Exotic Lonicera species both escape and resist specialist and generalist herbivores in the introduced range in North America/Contribution 1,Observational or correlational,North-America,Enemy release,Supported,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,AND,Aliens and natives,Damage,no differentiation,2013,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Exotic Lonicera species both escape and resist specialist and generalist herbivores in the introduced range in North America/Contribution 1,Exotic Lonicera species both escape and resist specialist and generalist herbivores in the introduced range in North America
Do alien plants escape from natural enemies of congeneric residents? Yes but not from all/Contribution 2,Observational or correlational,"['Asia', 'Europe']",Enemy release,Supported,Enclosure,Terrestrial,Plants,168,Testing the enemy release hypothesis in invasion biology,AND,Aliens and natives,Damage,Specialists,2013,"['https://sws.geonames.org/6255147/', 'https://www.wikidata.org/entity/Q48', 'https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Do alien plants escape from natural enemies of congeneric residents? Yes but not from all/Contribution 2,Do alien plants escape from natural enemies of congeneric residents? Yes but not from all
Do alien plants escape from natural enemies of congeneric residents? Yes but not from all/Contribution 1,Observational or correlational,"['Asia', 'Europe']",Enemy release,Questioned,Enclosure,Terrestrial,Plants,168,Testing the enemy release hypothesis in invasion biology,AND,Aliens and natives,Damage,Generalists,2013,"['https://sws.geonames.org/6255147/', 'https://www.wikidata.org/entity/Q48', 'https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Do alien plants escape from natural enemies of congeneric residents? Yes but not from all/Contribution 1,Do alien plants escape from natural enemies of congeneric residents? Yes but not from all
Does time since introduction influence enemy release of an invasive weed?/Contribution 2,Observational or correlational,Oceania,Enemy release,Questioned,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,ANI,Aliens and natives,Infestation,no differentiation,2013,"['https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",Does time since introduction influence enemy release of an invasive weed?/Contribution 2,Does time since introduction influence enemy release of an invasive weed?
Does time since introduction influence enemy release of an invasive weed?/Contribution 1,Observational or correlational,Oceania,Enemy release,Questioned,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,AND,Aliens and natives,Damage,no differentiation,2013,"['https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",Does time since introduction influence enemy release of an invasive weed?/Contribution 1,Does time since introduction influence enemy release of an invasive weed?
Enemy damage of exotic plant species is similar to that of natives and increases with productivity/Contribution 3,Observational or correlational,Europe,Enemy release,Questioned,Field,Terrestrial,Plants,12,Testing the enemy release hypothesis in invasion biology,AND,Aliens and natives,Damage,no differentiation,2013,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Enemy damage of exotic plant species is similar to that of natives and increases with productivity/Contribution 3,Enemy damage of exotic plant species is similar to that of natives and increases with productivity
Reduced seed predation after invasion supports enemy release in a broad biogeographical survey/Contribution 1,Observational or correlational,Africa,Enemy release,Supported,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,HAD,Aliens in native and invaded range,Damage,no differentiation,2013,,Reduced seed predation after invasion supports enemy release in a broad biogeographical survey/Contribution 1,Reduced seed predation after invasion supports enemy release in a broad biogeographical survey
Arthropod Communities on Native and Nonnative Early Successional Plants/Contribution 1,Experimental,North-America,Enemy release,Supported,Enclosure,Terrestrial,Plants,6,Testing the enemy release hypothesis in invasion biology,ANI,Aliens and natives,Infestation,no differentiation,2013,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Arthropod Communities on Native and Nonnative Early Successional Plants/Contribution 1,Arthropod Communities on Native and Nonnative Early Successional Plants
"Parasites of the fish Cichla piquiti (Cichlidae) in native and invaded Brazilian basins: release not from the enemy, but from its effects/Contribution 3",Observational or correlational,South-America,Enemy release,Supported,Field,Freshwater,Fishes,1,Testing the enemy release hypothesis in invasion biology,P HA,Aliens in native and invaded range,Performance,no differentiation,2013,,"Parasites of the fish Cichla piquiti (Cichlidae) in native and invaded Brazilian basins: release not from the enemy, but from its effects/Contribution 3","Parasites of the fish Cichla piquiti (Cichlidae) in native and invaded Brazilian basins: release not from the enemy, but from its effects"
"Parasites of the fish Cichla piquiti (Cichlidae) in native and invaded Brazilian basins: release not from the enemy, but from its effects/Contribution 2",Observational or correlational,South-America,Enemy release,Questioned,Field,Freshwater,Fishes,1,Testing the enemy release hypothesis in invasion biology,HAI,Aliens in native and invaded range,Infestation,no differentiation,2013,,"Parasites of the fish Cichla piquiti (Cichlidae) in native and invaded Brazilian basins: release not from the enemy, but from its effects/Contribution 2","Parasites of the fish Cichla piquiti (Cichlidae) in native and invaded Brazilian basins: release not from the enemy, but from its effects"
"Parasites of the fish Cichla piquiti (Cichlidae) in native and invaded Brazilian basins: release not from the enemy, but from its effects/Contribution 1",Observational or correlational,South-America,Enemy release,Undecided,Field,Freshwater,Fishes,1,Testing the enemy release hypothesis in invasion biology,ANI,Aliens and natives,Infestation,no differentiation,2013,,"Parasites of the fish Cichla piquiti (Cichlidae) in native and invaded Brazilian basins: release not from the enemy, but from its effects/Contribution 1","Parasites of the fish Cichla piquiti (Cichlidae) in native and invaded Brazilian basins: release not from the enemy, but from its effects"
Invasive Eupatorium adenophorum suffers lower enemy impact on carbon assimilation than native congeners/Contribution 1,Observational or correlational,Asia,Enemy release,Supported,Enclosure,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,AND,Aliens and natives,Damage,no differentiation,2012,"['https://sws.geonames.org/6255147/', 'https://www.wikidata.org/entity/Q48']",Invasive Eupatorium adenophorum suffers lower enemy impact on carbon assimilation than native congeners/Contribution 1,Invasive Eupatorium adenophorum suffers lower enemy impact on carbon assimilation than native congeners
Combined effects of plant competition and insect herbivory hinder invasiveness of an introduced thistle/Contribution 2,Experimental,North-America,Enemy release,Questioned,Enclosure,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,P AN,Aliens and natives,Performance,no differentiation,2012,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Combined effects of plant competition and insect herbivory hinder invasiveness of an introduced thistle/Contribution 2,Combined effects of plant competition and insect herbivory hinder invasiveness of an introduced thistle
Combined effects of plant competition and insect herbivory hinder invasiveness of an introduced thistle/Contribution 1,Observational or correlational,North-America,Enemy release,Questioned,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,AND,Aliens and natives,Damage,no differentiation,2012,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Combined effects of plant competition and insect herbivory hinder invasiveness of an introduced thistle/Contribution 1,Combined effects of plant competition and insect herbivory hinder invasiveness of an introduced thistle
Herbivory by an introduced Asian weevil negatively affects population growth of an invasive Brazilian shrub in Florida/Contribution 2,Experimental,North-America,Enemy release,Questioned,Enclosure,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,P AN,Aliens and natives,Performance,no differentiation,2012,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Herbivory by an introduced Asian weevil negatively affects population growth of an invasive Brazilian shrub in Florida/Contribution 2,Herbivory by an introduced Asian weevil negatively affects population growth of an invasive Brazilian shrub in Florida
Herbivory by an introduced Asian weevil negatively affects population growth of an invasive Brazilian shrub in Florida/Contribution 1,Observational or correlational,North-America,Enemy release,Questioned,Enclosure,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,AND,Aliens and natives,Damage,no differentiation,2012,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Herbivory by an introduced Asian weevil negatively affects population growth of an invasive Brazilian shrub in Florida/Contribution 1,Herbivory by an introduced Asian weevil negatively affects population growth of an invasive Brazilian shrub in Florida
Foliar herbivory and its effects on plant growth in native and exotic species in the Patagonian steppe/Contribution 3,Experimental,South-America,Enemy release,Questioned,Enclosure,Terrestrial,Plants,3,Testing the enemy release hypothesis in invasion biology,P AN,Aliens and natives,Performance,no differentiation,2012,,Foliar herbivory and its effects on plant growth in native and exotic species in the Patagonian steppe/Contribution 3,Foliar herbivory and its effects on plant growth in native and exotic species in the Patagonian steppe
Foliar herbivory and its effects on plant growth in native and exotic species in the Patagonian steppe/Contribution 2,Observational or correlational,South-America,Enemy release,Questioned,Field,Terrestrial,Plants,5,Testing the enemy release hypothesis in invasion biology,ANI,Aliens and natives,Infestation,no differentiation,2012,,Foliar herbivory and its effects on plant growth in native and exotic species in the Patagonian steppe/Contribution 2,Foliar herbivory and its effects on plant growth in native and exotic species in the Patagonian steppe
Foliar herbivory and its effects on plant growth in native and exotic species in the Patagonian steppe/Contribution 1,Observational or correlational,South-America,Enemy release,Questioned,Field,Terrestrial,Plants,5,Testing the enemy release hypothesis in invasion biology,AND,Aliens and natives,Damage,no differentiation,2012,,Foliar herbivory and its effects on plant growth in native and exotic species in the Patagonian steppe/Contribution 1,Foliar herbivory and its effects on plant growth in native and exotic species in the Patagonian steppe
Invading from the garden? A comparison of leaf herbivory for exotic and native plants in natural and ornamental settings/Contribution 2,Observational or correlational,,Enemy release,Questioned,Field,Terrestrial,Plants,11,Testing the enemy release hypothesis in invasion biology,INiD,Invasive and non-invasive aliens,Damage,no differentiation,2012,,Invading from the garden? A comparison of leaf herbivory for exotic and native plants in natural and ornamental settings/Contribution 2,Invading from the garden? A comparison of leaf herbivory for exotic and native plants in natural and ornamental settings
Invading from the garden? A comparison of leaf herbivory for exotic and native plants in natural and ornamental settings/Contribution 1,Observational or correlational,North-America,Enemy release,Supported,Field,Terrestrial,Plants,3,Testing the enemy release hypothesis in invasion biology,AND,Aliens and natives,Damage,no differentiation,2012,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Invading from the garden? A comparison of leaf herbivory for exotic and native plants in natural and ornamental settings/Contribution 1,Invading from the garden? A comparison of leaf herbivory for exotic and native plants in natural and ornamental settings
"Biogeographical comparison of the invasive Lepidium draba in its native, expanded and introduced ranges/Contribution 2",Observational or correlational,"['Europe', 'North-America']",Enemy release,Supported,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,HAIs,Aliens in native and invaded range,Infestation,Specialists,2012,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46', 'https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Biogeographical comparison of the invasive Lepidium draba in its native, expanded and introduced ranges/Contribution 2","Biogeographical comparison of the invasive Lepidium draba in its native, expanded and introduced ranges"
"Biogeographical comparison of the invasive Lepidium draba in its native, expanded and introduced ranges/Contribution 1",Observational or correlational,"['Europe', 'North-America']",Enemy release,Undecided,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,HAD,Aliens in native and invaded range,Damage,no differentiation,2012,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46', 'https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Biogeographical comparison of the invasive Lepidium draba in its native, expanded and introduced ranges/Contribution 1","Biogeographical comparison of the invasive Lepidium draba in its native, expanded and introduced ranges"
Coexistence between native and exotic species is facilitated by asymmetries in competitive ability and susceptibility to herbivores/Contribution 2,Experimental,North-America,Enemy release,Questioned,Enclosure,Terrestrial,Plants,3,Testing the enemy release hypothesis in invasion biology,P AN,Aliens and natives,Performance,no differentiation,2012,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Coexistence between native and exotic species is facilitated by asymmetries in competitive ability and susceptibility to herbivores/Contribution 2,Coexistence between native and exotic species is facilitated by asymmetries in competitive ability and susceptibility to herbivores
Coexistence between native and exotic species is facilitated by asymmetries in competitive ability and susceptibility to herbivores/Contribution 1,Observational or correlational,North-America,Enemy release,Questioned,Field,Terrestrial,Plants,101,Testing the enemy release hypothesis in invasion biology,AND,Aliens and natives,Damage,no differentiation,2012,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Coexistence between native and exotic species is facilitated by asymmetries in competitive ability and susceptibility to herbivores/Contribution 1,Coexistence between native and exotic species is facilitated by asymmetries in competitive ability and susceptibility to herbivores
"Invasive species are less parasitized than native competitors, but for how long? The case of the round goby in the Great Lakes-St. Lawrence Basin/Contribution 1",Observational or correlational,North-America,Enemy release,Supported,Field,Freshwater,Fishes,1,Testing the enemy release hypothesis in invasion biology,ANI,Aliens and natives,Infestation,no differentiation,2012,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Invasive species are less parasitized than native competitors, but for how long? The case of the round goby in the Great Lakes-St. Lawrence Basin/Contribution 1","Invasive species are less parasitized than native competitors, but for how long? The case of the round goby in the Great Lakes-St. Lawrence Basin"
Contrasting patterns of herbivore and predator pressure on invasive and native plants/Contribution 1,Observational or correlational,Europe,Enemy release,Supported,Field,Terrestrial,Plants,2,Testing the enemy release hypothesis in invasion biology,ANI,Aliens and natives,Infestation,no differentiation,2012,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Contrasting patterns of herbivore and predator pressure on invasive and native plants/Contribution 1,Contrasting patterns of herbivore and predator pressure on invasive and native plants
Impact of Acroptilon repens on co-occurring native plants is greater in the invader's non-native range/Contribution 2,Experimental,Asia,Enemy release,Questioned,Enclosure,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,P A,Only aliens,Performance,no differentiation,2012,"['https://sws.geonames.org/6255147/', 'https://www.wikidata.org/entity/Q48']",Impact of Acroptilon repens on co-occurring native plants is greater in the invader's non-native range/Contribution 2,Impact of Acroptilon repens on co-occurring native plants is greater in the invader's non-native range
Parasites and invasions: a biogeographic examination of parasites and hosts in native and introduced ranges/Contribution 1,Observational or correlational,North-America,Enemy release,Supported,Field,Marine,Molluscs,2,Testing the enemy release hypothesis in invasion biology,HAI,Aliens in native and invaded range,Infestation,no differentiation,2012,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Parasites and invasions: a biogeographic examination of parasites and hosts in native and introduced ranges/Contribution 1,Parasites and invasions: a biogeographic examination of parasites and hosts in native and introduced ranges
Invertebrate community composition differs between invasive herb alligator weed and native sedges/Contribution 3,Observational or correlational,Oceania,Enemy release,Questioned,Field,Freshwater,Plants,1,Testing the enemy release hypothesis in invasion biology,ANIs,Aliens and natives,Infestation,Specialists,2012,"['https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",Invertebrate community composition differs between invasive herb alligator weed and native sedges/Contribution 3,Invertebrate community composition differs between invasive herb alligator weed and native sedges
Invertebrate community composition differs between invasive herb alligator weed and native sedges/Contribution 2,Observational or correlational,Oceania,Enemy release,Questioned,Field,Freshwater,Plants,1,Testing the enemy release hypothesis in invasion biology,ANIg,Aliens and natives,Infestation,Generalists,2012,"['https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",Invertebrate community composition differs between invasive herb alligator weed and native sedges/Contribution 2,Invertebrate community composition differs between invasive herb alligator weed and native sedges
Invertebrate community composition differs between invasive herb alligator weed and native sedges/Contribution 1,Observational or correlational,Oceania,Enemy release,Questioned,Field,Freshwater,Plants,1,Testing the enemy release hypothesis in invasion biology,ANI,Aliens and natives,Infestation,no differentiation,2012,"['https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",Invertebrate community composition differs between invasive herb alligator weed and native sedges/Contribution 1,Invertebrate community composition differs between invasive herb alligator weed and native sedges
"Exploring the potential for climatic factors, herbivory, and co-occurring vegetation to shape performance in native and introduced populations of Verbascum thapsus/Contribution 2",Observational or correlational,"['Europe', 'North-America']",Enemy release,Undecided,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,HAI,Aliens in native and invaded range,Infestation,no differentiation,2012,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46', 'https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Exploring the potential for climatic factors, herbivory, and co-occurring vegetation to shape performance in native and introduced populations of Verbascum thapsus/Contribution 2","Exploring the potential for climatic factors, herbivory, and co-occurring vegetation to shape performance in native and introduced populations of Verbascum thapsus"
"Exploring the potential for climatic factors, herbivory, and co-occurring vegetation to shape performance in native and introduced populations of Verbascum thapsus/Contribution 1",Observational or correlational,"['Europe', 'North-America']",Enemy release,Supported,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,HAD,Aliens in native and invaded range,Damage,no differentiation,2012,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46', 'https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Exploring the potential for climatic factors, herbivory, and co-occurring vegetation to shape performance in native and introduced populations of Verbascum thapsus/Contribution 1","Exploring the potential for climatic factors, herbivory, and co-occurring vegetation to shape performance in native and introduced populations of Verbascum thapsus"
"Relationships among leaf damage, natural enemy release, and abundance in exotic and native prairie plants/Contribution 3",Experimental,North-America,Enemy release,Questioned,Enclosure,Terrestrial,Plants,3,Testing the enemy release hypothesis in invasion biology,P AN,Aliens and natives,Performance,no differentiation,2011,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Relationships among leaf damage, natural enemy release, and abundance in exotic and native prairie plants/Contribution 3","Relationships among leaf damage, natural enemy release, and abundance in exotic and native prairie plants"
"Relationships among leaf damage, natural enemy release, and abundance in exotic and native prairie plants/Contribution 2",Observational or correlational,North-America,Enemy release,Undecided,Field,Terrestrial,Plants,4,Testing the enemy release hypothesis in invasion biology,INiD,Invasive and non-invasive aliens,Damage,no differentiation,2011,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Relationships among leaf damage, natural enemy release, and abundance in exotic and native prairie plants/Contribution 2","Relationships among leaf damage, natural enemy release, and abundance in exotic and native prairie plants"
"Relationships among leaf damage, natural enemy release, and abundance in exotic and native prairie plants/Contribution 1",Observational or correlational,North-America,Enemy release,Undecided,Field,Terrestrial,Plants,9,Testing the enemy release hypothesis in invasion biology,AND,Aliens and natives,Damage,no differentiation,2011,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Relationships among leaf damage, natural enemy release, and abundance in exotic and native prairie plants/Contribution 1","Relationships among leaf damage, natural enemy release, and abundance in exotic and native prairie plants"
Population regulation by enemies of the grass Brachypodium sylvaticum: demography in native and invaded ranges/Contribution 2,Experimental,"['Europe', 'North-America']",Enemy release,Supported,Enclosure,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,P HA,Aliens in native and invaded range,Performance,no differentiation,2011,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46', 'https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Population regulation by enemies of the grass Brachypodium sylvaticum: demography in native and invaded ranges/Contribution 2,Population regulation by enemies of the grass Brachypodium sylvaticum: demography in native and invaded ranges
